INFO:root:Epoch 203: Train Loss = 0.05788721777498722, Test Loss = 0.24013447016477585, Time = 0.20s
INFO:root:Epoch 204: Train Loss = 0.05814299657940865, Test Loss = 0.24013053625822067, Time = 0.20s
INFO:root:Epoch 205: Train Loss = 0.059391313418746, Test Loss = 0.2401219606399536, Time = 0.20s
INFO:root:Epoch 206: Train Loss = 0.057796748355031013, Test Loss = 0.24011199921369553, Time = 0.20s
INFO:root:Epoch 207: Train Loss = 0.059150232933461666, Test Loss = 0.24009830504655838, Time = 0.20s
INFO:root:Epoch 208: Train Loss = 0.05825951602309942, Test Loss = 0.24009472876787186, Time = 0.20s
INFO:root:Epoch 209: Train Loss = 0.05803641378879547, Test Loss = 0.2400948405265808, Time = 0.20s
INFO:root:Epoch 210: Train Loss = 0.05772973075509071, Test Loss = 0.2401053011417389, Time = 0.20s
INFO:root:Epoch 211: Train Loss = 0.05693258680403233, Test Loss = 0.24012422561645508, Time = 0.20s
INFO:root:Epoch 212: Train Loss = 0.059104415401816365, Test Loss = 0.24014296382665634, Time = 0.20s
INFO:root:Epoch 213: Train Loss = 0.057680203765630725, Test Loss = 0.24014311283826828, Time = 0.20s
INFO:root:Epoch 214: Train Loss = 0.059798749163746834, Test Loss = 0.24012339115142822, Time = 0.20s
INFO:root:Epoch 215: Train Loss = 0.05926885735243559, Test Loss = 0.24011515080928802, Time = 0.20s
INFO:root:Epoch 216: Train Loss = 0.05699433200061321, Test Loss = 0.24011459201574326, Time = 0.20s
INFO:root:Epoch 217: Train Loss = 0.05781931933015585, Test Loss = 0.24011530727148056, Time = 0.20s
INFO:root:Epoch 218: Train Loss = 0.0588386919349432, Test Loss = 0.24010636657476425, Time = 0.20s
INFO:root:Epoch 219: Train Loss = 0.05857335776090622, Test Loss = 0.24009302258491516, Time = 0.20s
INFO:root:Epoch 220: Train Loss = 0.058338644728064534, Test Loss = 0.24007882177829742, Time = 0.20s
INFO:root:Epoch 221: Train Loss = 0.05898831598460674, Test Loss = 0.2400740459561348, Time = 0.20s
INFO:root:Epoch 222: Train Loss = 0.05944075845181942, Test Loss = 0.24007265269756317, Time = 0.20s
INFO:root:Epoch 223: Train Loss = 0.057264615409076215, Test Loss = 0.24007150530815125, Time = 0.20s
INFO:root:Epoch 224: Train Loss = 0.05805730223655701, Test Loss = 0.24007587134838104, Time = 0.20s
